utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-18T16:50:00Z,284.7122,14.3779
2026-05-18T17:00:00Z,286.8061,13.1983
2026-05-18T17:10:00Z,288.8977,12.0327
2026-05-18T17:20:00Z,290.9887,10.8829
2026-05-18T17:30:00Z,293.0808,9.7506
2026-05-18T17:40:00Z,295.1757,8.6379
2026-05-18T17:50:00Z,297.2749,7.5469
2026-05-18T18:00:00Z,299.3798,6.4798
2026-05-18T18:10:00Z,301.4917,5.4393
2026-05-18T18:20:00Z,303.6119,4.4289
2026-05-18T18:30:00Z,305.7416,3.4539
2026-05-18T18:40:00Z,307.8817,2.5181
2026-05-18T18:50:00Z,310.0332,1.6295
2026-05-18T19:00:00Z,312.197,0.7984
2026-05-18T19:10:00Z,314.3736,0.0363
2026-05-19T01:50:00Z,46.6707,0.4479
2026-05-19T02:00:00Z,48.839,1.25
2026-05-19T02:10:00Z,50.9946,2.1147
2026-05-19T02:20:00Z,53.1383,3.031
2026-05-19T02:30:00Z,55.2711,3.9899
2026-05-19T02:40:00Z,57.3938,4.9852
2026-05-19T02:50:00Z,59.5076,6.0141
2026-05-19T03:00:00Z,61.6138,7.0705
2026-05-19T03:10:00Z,63.7134,8.152
2026-05-19T03:20:00Z,65.8081,9.2564
2026-05-19T03:30:00Z,67.8991,10.3813
2026-05-19T03:40:00Z,69.9882,11.5247
2026-05-19T03:50:00Z,72.0769,12.6849
2026-05-19T04:00:00Z,74.167,13.8598
2026-05-19T04:10:00Z,76.2604,15.0479
2026-05-19T04:20:00Z,78.3589,16.2473
2026-05-19T04:30:00Z,80.4646,17.4565
2026-05-19T04:40:00Z,82.5795,18.6736
2026-05-19T04:50:00Z,84.7059,19.8969
2026-05-19T05:00:00Z,86.8461,21.1248
2026-05-19T05:10:00Z,89.0023,22.3556
2026-05-19T05:20:00Z,91.1772,23.5874
2026-05-19T05:30:00Z,93.3731,24.8184
2026-05-19T05:40:00Z,95.5929,26.0468
2026-05-19T05:50:00Z,97.8392,27.2707
2026-05-19T06:00:00Z,100.1148,28.4881
2026-05-19T06:10:00Z,102.4227,29.6969
2026-05-19T06:20:00Z,104.7658,30.8951
2026-05-19T06:30:00Z,107.1472,32.0804
2026-05-19T06:40:00Z,109.5699,33.2506
2026-05-19T06:50:00Z,112.037,34.4033
2026-05-19T07:00:00Z,114.5517,35.5359
2026-05-19T07:10:00Z,117.117,36.6459
2026-05-19T07:20:00Z,119.7359,37.7305
2026-05-19T07:30:00Z,122.4114,38.787
2026-05-19T07:40:00Z,125.146,39.8123
2026-05-19T07:50:00Z,127.9423,40.8034
2026-05-19T08:00:00Z,130.8025,41.7571
2026-05-19T08:10:00Z,133.7284,42.6703
